Volume	Issue	Month	Year	Pages
1	1	9	1980	28
1	2	10	1980	28
1	3	11	1980	44
1	4	12	1980	36
1	5	1	1981	36
1	6	2	1981	44
1	7	3	1981	52
1	8	4	1981	76
1	9	5	1981	76
1	10	6	1981	84
1	11	7	1981	68
1	12	8	1981	92
2	1	9	1981	116
2	2	10	1981	148
2	3	11	1981	190
2	4	12	1981	208
2	5	1	1982	176
2	6	2	1982	188
2	7	3	1982	188
2	8	4	1982	212
2	9	5	1982	228
2	10	6	1982	220
2	11	7	1982	196
2	12	8	1982	196
3	1	9	1982	220
3	2	10	1982	268
3	3	11	1982	304
3	4	12	1982	336
3	5	1	1983	256
3	6	2	1983	256
3	7	3	1983	280
3	8	4	1983	288
3	9	5	1983	272
3	10	6	1983	288
3	11	7	1983	288
3	12	8	1983	290
4	1	9	1983	308
4	2	10	1983	320
4	3	11	1983	336
4	4	12	1983	416
4	5	1	1984	272
4	6	2	1984	256
4	7	3	1984	240
4	8	4	1984	224
4	9	5	1984	208
4	10	6	1984	192
4	11	7	1984	128
4	12	8	1984	128
